data,1241790000,1174207.0;63594.0;1233629.0;44989.0;1241450.0;67751.0,4010.0 64.0 109697 0.0000 0.0000 0.0000 0.0000 0.0000;5506.0 179.0 109698 0.0000 0.0000 0.0000 0.0000 0.0000;7743.0 121.0 109667 0.0000 0.0000 0.0000 0.0000 0.0000;5355.0 220.0 109701 0.0000 0.0000 0.0000 0.0000 0.0000;3072.0 54.0 109702 0.0000 0.0000 0.0000 0.0000 0.0000;15110.0 1163.0 109704 0.0000 0.0000 0.0000 0.0000 0.0000;5293.0 141.0 109706 0.0000 0.0000 0.0000 0.0000 0.0000;2624.0 38.0 109707 0.0000 0.0000 0.0000 0.0000 0.0000;12359.0 1016.0 109708 0.0000 0.0000 0.0000 0.0000 0.0000;3597.0 109.0 109709 0.0000 0.0000 0.0000 0.0000 0.0000;4221.0 111.0 109710 0.0000 0.0000 0.0000 0.0000 0.0000;31522.0 1357.0 109635 0.0000 0.0000 0.0000 0.0000 0.0000;11222.0 651.0 109699 0.0000 0.0000 0.0000 0.0000 0.0000;1908.0 23.0 109716 0.0000 0.0000 0.0000 0.0000 0.0000;1272.0 30.0 109717 0.0000 0.0000 0.0000 0.0000 0.0000;1263.0 25.0 109718 0.0000 0.0000 0.0000 0.0000 0.0000;2971.0 164.0 109719 0.0000 0.0000 0.0000 0.0000 0.0000;1141.0 22.0 109720 0.0000 0.0000 0.0000 0.0000 0.0000;7036.0 325.0 109675 0.0000 0.0000 0.0000 0.0000 0.0000;7104.0 55.0 109660 0.0000 0.0000 0.0000 0.0000 0.0000,109697.0 17288;109698.0 17288;109635.0 17288;109699.0 17288;109701.0 17288;109702.0 17288;109704.0 17288;109706.0 17288;109707.0 17288;109708.0 17288;109709.0 17288;109710.0 17288;109675.0 17288;109716.0 17288;109717.0 17288;109718.0 17288;109719.0 17288;109720.0 17288;109667.0 17288;109660.0 17288,109697 882;109698 876;109667 870;109701 820;109702 865;109704 916;109706 915;109707 831;109708 874;109709 885;109710 899;109635 855;109699 861;109716 892;109717 852;109718 850;109719 825;109720 878;109675 851;109660 791
data,1241790000,1174352.0;63595.0;1233763.0;44996.0;1241592.0;67757.0,4016.0 64.0 109697 0.0000 0.0000 0.0000 0.0000 0.0000;5512.0 179.0 109698 0.0000 0.0000 0.0000 0.0000 0.0000;7750.0 121.0 109667 0.0000 0.0000 0.0000 0.0000 0.0000;11229.0 651.0 109699 0.0000 0.0000 0.0000 0.0000 0.0000;5362.0 220.0 109701 0.0000 0.0000 0.0000 0.0000 0.0000;3080.0 54.0 109702 0.0000 0.0000 0.0000 0.0000 0.0000;15117.0 1163.0 109704 0.0000 0.0000 0.0000 0.0000 0.0000;5300.0 141.0 109706 0.0000 0.0000 0.0000 0.0000 0.0000;2631.0 38.0 109707 0.0000 0.0000 0.0000 0.0000 0.0000;12366.0 1016.0 109708 0.0000 0.0000 0.0000 0.0000 0.0000;3609.0 110.0 109709 0.1739 0.0073 -0.0259 0.0556 -0.0043;4229.0 111.0 109710 0.0000 0.0000 0.0000 0.0000 0.0000;31529.0 1357.0 109635 0.0000 0.0000 0.0000 0.0000 0.0000;1915.0 23.0 109716 0.0000 0.0000 0.0000 0.0000 0.0000;1279.0 30.0 109717 0.0000 0.0000 0.0000 0.0000 0.0000;1270.0 25.0 109718 0.0000 0.0000 0.0000 0.0000 0.0000;2978.0 164.0 109719 0.0000 0.0000 0.0000 0.0000 0.0000;1148.0 22.0 109720 0.0000 0.0000 0.0000 0.0000 0.0000;7043.0 325.0 109675 0.0000 0.0000 0.0000 0.0000 0.0000;7111.0 55.0 109660 0.0000 0.0000 0.0000 0.0000 0.0000,109697.0 2712;109698.0 2712;109635.0 2712;109699.0 2712;109701.0 2712;109702.0 2712;109704.0 2712;109706.0 2712;109707.0 2712;109708.0 2712;109709.0 2712;109710.0 2712;109675.0 2712;109716.0 2712;109717.0 2712;109718.0 2712;109719.0 2712;109720.0 2712;109667.0 2712;109660.0 2712,109697 144;109698 132;109667 141;109699 138;109701 134;109702 139;109704 119;109706 129;109707 152;109708 141;109709 114;109710 129;109635 142;109716 133;109717 130;109718 138;109719 129;109720 138;109675 135;109660 155
data,1241790300,1175327.0;63626.0;1234774.0;45033.0;1242622.0;67811.0,4062.0 65.0 109697 -0.0130 -0.0240 -0.0098 0.0782 -0.0009;5574.0 182.0 109698 -0.0176 -0.0432 0.0526 0.1075 -0.0027;7078.0 325.0 109675 0.0000 0.0000 0.0000 0.0000 0.0000;11298.0 655.0 109699 0.0006 0.0104 -0.0365 0.1377 -0.0114;5404.0 221.0 109701 -0.0227 0.0071 0.0782 -0.0165 -0.0006;3128.0 56.0 109702 -0.0582 0.1470 -0.0043 0.0606 -0.0062;15182.0 1167.0 109704 0.0841 0.1598 0.0645 -0.0404 -0.0120;5334.0 141.0 109706 0.0000 0.0000 0.0000 0.0000 0.0000;2710.0 43.0 109707 0.0929 0.0099 0.0697 0.0486 -0.0078;12423.0 1018.0 109708 0.0366 -0.0285 0.0033 0.0783 -0.0061;3652.0 110.0 109709 0.0714 -0.0067 -0.0153 0.0131 -0.0029;4281.0 113.0 109710 -0.0526 0.0233 0.0681 0.0623 0.0034;31574.0 1358.0 109635 0.0031 0.0027 0.0713 -0.0243 0.0001;1950.0 23.0 109716 0.0000 0.0000 0.0000 0.0000 0.0000;1314.0 30.0 109717 0.0000 0.0000 0.0000 0.0000 0.0000;1338.0 29.0 109718 -0.0665 0.0106 0.0760 0.1118 -0.0090;3025.0 165.0 109719 -0.0340 -0.0335 -0.0140 0.0890 -0.0014;1189.0 23.0 109720 -0.0288 0.0048 0.0804 -0.0136 -0.0013;7785.0 121.0 109667 0.0000 0.0000 0.0000 0.0000 0.0000;7148.0 55.0 109660 0.0000 0.0000 0.0000 0.0000 0.0000,109697.0 20000;109698.0 20000;109635.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109675.0 20000;109716.0 20000;109717.0 20000;109718.0 20000;109719.0 20000;109720.0 20000;109667.0 20000;109660.0 20000,109697 957;109698 972;109675 1017;109699 906;109701 975;109702 1009;109704 1068;109706 965;109707 1007;109708 1067;109709 958;109710 951;109635 1034;109716 933;109717 1046;109718 1003;109719 1042;109720 1069;109667 1019;109660 1002
data,1241790600,1176377.0;63676.0;1235729.0;45062.0;1243656.0;67873.0,4137.0 70.0 109697 -0.0493 -0.0393 0.0085 0.1245 0.0357;5642.0 186.0 109698 -0.0018 0.0717 0.0704 0.0748 -0.0051;31615.0 1359.0 109635 0.0059 -0.0014 0.0389 0.0338 -0.0003;11355.0 657.0 109699 0.0365 0.0166 -0.0343 0.1096 -0.0074;5436.0 221.0 109701 -0.0126 0.0032 0.0472 -0.0085 -0.0008;3163.0 56.0 109702 -0.0422 0.0929 -0.0046 0.0469 -0.0052;15280.0 1174.0 109704 0.1038 0.0996 0.0796 0.0087 -0.0189;5380.0 143.0 109706 -0.0035 -0.0014 0.0001 -0.0005 0.0592;2781.0 47.0 109707 0.0487 0.0585 0.0652 0.0781 -0.0091;12581.0 1036.0 109708 -0.0163 -0.0695 -0.0172 0.1985 -0.0276;3697.0 111.0 109709 0.0874 -0.0210 -0.0181 0.0077 -0.0032;4321.0 114.0 109710 0.0097 0.0086 0.0526 0.0408 0.0017;7821.0 122.0 109667 0.0657 -0.0077 -0.0055 0.0003 -0.0006;1990.0 24.0 109716 0.0606 -0.0113 -0.0073 0.0006 -0.0008;1343.0 30.0 109717 0.0000 0.0000 0.0000 0.0000 0.0000;1378.0 29.0 109718 -0.0432 0.0056 0.0480 0.0821 -0.0053;3075.0 168.0 109719 0.0019 0.1450 -0.0065 0.0400 -0.0028;1222.0 23.0 109720 -0.0142 0.0036 0.0489 -0.0083 -0.0005;7107.0 325.0 109675 0.0000 0.0000 0.0000 0.0000 0.0000;7175.0 55.0 109660 0.0000 0.0000 0.0000 0.0000 0.0000,109697.0 20000;109698.0 20000;109635.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109675.0 20000;109716.0 20000;109717.0 20000;109718.0 20000;109719.0 20000;109720.0 20000;109667.0 20000;109660.0 20000,109697 1036;109698 1024;109635 964;109699 899;109701 1030;109702 1017;109704 1018;109706 1042;109707 969;109708 1052;109709 1031;109710 1008;109667 1001;109716 1018;109717 1018;109718 971;109719 970;109720 1014;109675 941;109660 977
data,1241790900,1177334.0;63702.0;1236731.0;45098.0;1244639.0;67925.0,4175.0 70.0 109697 -0.0396 -0.0295 0.0016 0.1029 0.0254;5686.0 186.0 109698 -0.0032 0.0564 0.0515 0.0622 -0.0039;31646.0 1359.0 109635 0.0051 -0.0010 0.0291 0.0275 -0.0002;5465.0 221.0 109701 -0.0088 0.0021 0.0354 -0.0063 -0.0006;3200.0 57.0 109702 -0.0476 0.0757 -0.0079 0.0651 -0.0036;15343.0 1175.0 109704 0.0934 0.0770 0.0609 0.0002 -0.0148;5410.0 143.0 109706 -0.0021 -0.0015 -0.0008 -0.0001 0.0445;2842.0 48.0 109707 0.0555 0.0373 0.0445 0.0629 -0.0064;12636.0 1036.0 109708 -0.0111 -0.0683 -0.0192 0.1631 -0.0241;3736.0 112.0 109709 0.0606 -0.0178 -0.0200 0.0472 -0.0027;4370.0 115.0 109710 0.0422 0.0072 0.0336 0.0293 0.0012;11429.0 661.0 109699 0.0782 0.0565 -0.0333 0.0776 -0.0067;2040.0 26.0 109716 0.0327 -0.0203 -0.0091 0.0680 -0.0016;1380.0 31.0 109717 -0.0133 0.0062 -0.0051 0.0437 -0.0004;1435.0 31.0 109718 0.0370 0.0002 0.0283 0.0666 -0.0037;3115.0 169.0 109719 -0.0093 0.1433 -0.0020 0.0270 -0.0038;1250.0 23.0 109720 -0.0095 0.0020 0.0352 -0.0053 -0.0003;7866.0 123.0 109667 0.0402 -0.0127 -0.0094 0.0403 -0.0008;7230.0 335.0 109675 -0.0482 -0.0248 0.0586 0.1191 -0.0021;7202.0 55.0 109660 0.0000 0.0000 0.0000 0.0000 0.0000,109697.0 20000;109698.0 20000;109635.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109675.0 20000;109716.0 20000;109717.0 20000;109718.0 20000;109719.0 20000;109720.0 20000;109667.0 20000;109660.0 20000,109697 998;109698 1017;109635 973;109701 1036;109702 981;109704 1014;109706 996;109707 1010;109708 993;109709 1058;109710 980;109699 988;109716 1036;109717 998;109718 1053;109719 966;109720 1017;109667 954;109675 976;109660 956
data,1241791200,1178376.0;63739.0;1237789.0;45126.0;1245657.0;67976.0,4209.0 70.0 109697 -0.0362 -0.0203 0.0021 0.0900 0.0204;5778.0 192.0 109698 -0.0284 0.0330 0.0454 0.1022 -0.0056;7896.0 123.0 109667 0.0316 -0.0103 -0.0072 0.0350 -0.0006;5523.0 224.0 109701 -0.0271 -0.0032 0.0224 0.0740 -0.0007;3229.0 57.0 109702 -0.0399 0.0617 -0.0060 0.0570 -0.0024;15398.0 1176.0 109704 0.0871 0.0566 0.0510 -0.0001 -0.0122;5439.0 143.0 109706 -0.0012 -0.0019 -0.0007 -0.0005 0.0362;7336.0 341.0 109675 -0.0542 -0.0258 0.0725 0.0994 0.0150;12705.0 1041.0 109708 -0.0165 -0.0637 -0.0318 0.1723 -0.0277;3789.0 114.0 109709 0.0384 -0.0223 -0.0175 0.0749 -0.0028;4419.0 116.0 109710 0.0552 -0.0010 0.0243 0.0235 -0.0001;2887.0 48.0 109707 0.0428 0.0283 0.0369 0.0574 -0.0049;11499.0 663.0 109699 0.0695 0.0369 -0.0045 0.0703 -0.0085;2085.0 27.0 109716 0.0201 -0.0139 0.0201 0.0546 -0.0012;1464.0 37.0 109717 -0.0490 -0.0185 -0.0271 0.1168 0.0140;31687.0 1360.0 109635 0.0029 -0.0009 0.0229 0.0249 0.0216;3148.0 169.0 109719 -0.0128 0.1078 -0.0016 0.0299 -0.0038;1279.0 23.0 109720 -0.0070 0.0013 0.0279 -0.0040 -0.0002;7227.0 55.0 109660 0.0000 0.0000 0.0000 0.0000 0.0000;1501.0 34.0 109718 0.0189 0.0402 0.0224 0.0775 -0.0042,109697.0 20000;109698.0 20000;109635.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109675.0 20000;109716.0 20000;109717.0 20000;109718.0 20000;109719.0 20000;109720.0 20000;109667.0 20000;109660.0 20000,109697 965;109698 1031;109667 1017;109701 942;109702 1012;109704 988;109706 978;109675 1063;109708 1036;109709 1003;109710 965;109707 1031;109699 1021;109716 983;109717 957;109635 932;109719 1048;109720 995;109660 1038;109718 995
data,1241791500,1179330.0;63778.0;1238890.0;45163.0;1246620.0;68014.0,4235.0 71.0 109697 -0.0441 -0.0213 -0.0039 0.1047 0.0174;5820.0 193.0 109698 -0.0322 0.0305 0.0469 0.0954 -0.0051;7918.0 123.0 109667 0.0277 -0.0081 -0.0061 0.0316 -0.0005;5559.0 225.0 109701 -0.0307 -0.0085 0.0191 0.0786 -0.0010;3253.0 57.0 109702 -0.0346 0.0521 -0.0049 0.0508 -0.0018;15451.0 1177.0 109704 0.0762 0.0432 0.0434 0.0154 -0.0105;5486.0 145.0 109706 -0.0090 0.0002 0.0391 -0.0059 0.0327;7412.0 345.0 109675 -0.0566 -0.0250 0.0689 0.0970 0.0318;12825.0 1051.0 109708 -0.0209 -0.0141 -0.0199 0.1555 -0.0316;3902.0 121.0 109709 0.0666 -0.0290 0.0262 0.0599 0.0157;4464.0 118.0 109710 0.0433 -0.0000 0.0173 0.0551 0.0003;2918.0 48.0 109707 0.0386 0.0210 0.0325 0.0548 -0.0040;31723.0 1361.0 109635 0.0016 -0.0022 0.0209 0.0227 0.0311;11560.0 665.0 109699 0.0787 0.0222 -0.0124 0.0652 -0.0085;2110.0 27.0 109716 0.0173 -0.0123 0.0165 0.0510 -0.0009;1489.0 37.0 109717 -0.0467 -0.0228 -0.0259 0.1080 0.0123;1597.0 40.0 109718 -0.0024 0.0339 0.0616 0.0774 -0.0059;3186.0 170.0 109719 0.0155 0.0966 -0.0025 0.0201 -0.0045;1300.0 23.0 109720 -0.0062 0.0011 0.0244 -0.0031 -0.0001;7244.0 55.0 109660 0.0000 0.0000 0.0000 0.0000 0.0000,109697.0 20000;109698.0 20000;109635.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109675.0 20000;109716.0 20000;109717.0 20000;109718.0 20000;109719.0 20000;109720.0 20000;109667.0 20000;109660.0 20000,109697 992;109698 994;109667 978;109701 1001;109702 944;109704 1053;109706 1045;109675 988;109708 942;109709 941;109710 999;109707 1018;109635 1018;109699 992;109716 1013;109717 1058;109718 1017;109719 1029;109720 964;109660 1014
data,1241791800,1180378.0;63814.0;1239887.0;45199.0;1247635.0;68069.0,4306.0 74.0 109697 -0.0130 -0.0242 -0.0038 0.0932 0.0257;31749.0 1361.0 109635 0.0009 -0.0020 0.0178 0.0219 0.0271;11618.0 667.0 109699 0.0638 0.0180 -0.0155 0.0772 -0.0094;5659.0 231.0 109701 -0.0037 0.0005 0.0068 0.0984 -0.0020;3306.0 60.0 109702 -0.0470 0.0398 -0.0012 0.0864 -0.0019;15504.0 1178.0 109704 0.0764 0.0378 0.0359 0.0124 -0.0094;5516.0 145.0 109706 -0.0092 0.0004 0.0336 -0.0051 0.0279;2952.0 48.0 109707 0.0338 0.0191 0.0280 0.0526 -0.0031;12923.0 1056.0 109708 -0.0282 -0.0001 0.0069 0.1444 -0.0302;3959.0 122.0 109709 0.0563 -0.0244 0.0270 0.0571 0.0148;4497.0 118.0 109710 0.0375 -0.0002 0.0146 0.0514 0.0003;5890.0 196.0 109698 -0.0394 0.0303 0.0601 0.0850 -0.0049;7942.0 123.0 109667 0.0246 -0.0067 -0.0049 0.0291 -0.0004;2173.0 30.0 109716 0.0107 0.0413 0.0287 0.0475 -0.0013;1547.0 39.0 109717 0.0065 -0.0285 -0.0278 0.1002 0.0101;1660.0 43.0 109718 -0.0133 0.0256 0.0542 0.0896 -0.0062;3217.0 170.0 109719 0.0121 0.0883 -0.0019 0.0182 -0.0044;1325.0 23.0 109720 -0.0053 0.0009 0.0207 -0.0023 -0.0001;7491.0 349.0 109675 -0.0513 -0.0342 0.0584 0.1092 0.0250;7266.0 55.0 109660 0.0000 0.0000 0.0000 0.0000 0.0000,109697.0 20000;109698.0 20000;109635.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109675.0 20000;109716.0 20000;109717.0 20000;109718.0 20000;109719.0 20000;109720.0 20000;109667.0 20000;109660.0 20000,109697 1024;109635 1009;109699 992;109701 1002;109702 1031;109704 985;109706 1018;109707 961;109708 996;109709 1010;109710 985;109698 988;109667 1023;109716 968;109717 1020;109718 999;109719 971;109720 1002;109675 1055;109660 961
data,1241792100,1181391.0;63859.0;1240878.0;45222.0;1248653.0;68107.0,4332.0 74.0 109697 -0.0126 -0.0220 -0.0027 0.0876 0.0228;31851.0 1366.0 109635 0.0656 -0.0155 0.0168 0.0121 0.0230;7963.0 123.0 109667 0.0219 -0.0055 -0.0041 0.0270 -0.0003;5681.0 231.0 109701 -0.0036 -0.0013 0.0074 0.0926 -0.0020;3364.0 64.0 109702 -0.0482 0.0427 -0.0049 0.0955 -0.0027;15554.0 1180.0 109704 0.0680 0.0340 0.0317 0.0360 -0.0087;5568.0 148.0 109706 -0.0145 0.0441 0.0310 -0.0086 0.0405;7635.0 361.0 109675 -0.0576 -0.0393 0.0723 0.1106 0.0195;13038.0 1062.0 109708 0.0094 -0.0088 0.0144 0.1356 -0.0290;3989.0 122.0 109709 0.0529 -0.0221 0.0244 0.0545 0.0128;4522.0 118.0 109710 0.0339 -0.0004 0.0145 0.0476 0.0003;11661.0 668.0 109699 0.0574 0.0348 -0.0141 0.0708 -0.0091;2980.0 48.0 109707 0.0312 0.0166 0.0266 0.0497 -0.0025;1582.0 40.0 109717 0.0023 0.0057 -0.0253 0.0931 0.0085;5954.0 201.0 109698 -0.0524 0.0598 0.0521 0.0995 -0.0051;3268.0 172.0 109719 0.0386 0.0765 -0.0036 0.0153 -0.0050;1344.0 23.0 109720 -0.0048 0.0007 0.0191 -0.0019 -0.0001;2222.0 32.0 109716 0.0032 0.0375 0.0436 0.0448 -0.0011;7287.0 55.0 109660 0.0000 0.0000 0.0000 0.0000 0.0000;1718.0 45.0 109718 -0.0086 0.0235 0.0565 0.0831 -0.0063,109697.0 20000;109698.0 20000;109635.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109675.0 20000;109716.0 20000;109717.0 20000;109718.0 20000;109719.0 20000;109720.0 20000;109667.0 20000;109660.0 20000,109697 972;109635 967;109667 926;109701 990;109702 983;109704 1049;109706 1011;109675 1052;109708 983;109709 1001;109710 1023;109699 1021;109707 1089;109717 994;109698 967;109719 996;109720 983;109716 941;109660 1049;109718 1003
data,1241792100,1182361.0;63904.0;1241846.0;45254.0;1249636.0;68161.0,4353.0 74.0 109697 -0.0135 -0.0189 -0.0019 0.0841 0.0212;6019.0 204.0 109698 -0.0379 0.0506 0.0539 0.0944 -0.0052;7979.0 123.0 109667 0.0204 -0.0049 -0.0037 0.0259 -0.0003;11687.0 668.0 109699 0.0544 0.0322 -0.0127 0.0677 -0.0085;5705.0 231.0 109701 -0.0052 -0.0015 0.0069 0.0891 -0.0018;3404.0 65.0 109702 -0.0245 0.0384 -0.0072 0.0915 -0.0026;15583.0 1180.0 109704 0.0627 0.0319 0.0298 0.0353 -0.0077;5597.0 148.0 109706 -0.0136 0.0388 0.0286 -0.0073 0.0355;7704.0 364.0 109675 -0.0588 -0.0350 0.0741 0.1018 0.0237;13180.0 1075.0 109708 -0.0067 0.0431 0.0048 0.1398 -0.0319;4060.0 125.0 109709 0.0479 -0.0195 0.0318 0.0497 0.0245;4577.0 122.0 109710 0.0775 -0.0088 0.0101 0.0398 -0.0002;31885.0 1367.0 109635 0.0642 0.0067 0.0146 0.0102 0.0206;3055.0 53.0 109707 0.0183 0.0063 0.0208 0.0790 0.0110;1615.0 41.0 109717 -0.0029 0.0339 -0.0224 0.0871 0.0076;1781.0 48.0 109718 -0.0143 0.0427 0.0608 0.0752 -0.0061;3376.0 179.0 109719 0.0532 0.0671 -0.0093 0.0498 -0.0054;1359.0 23.0 109720 -0.0044 0.0006 0.0177 -0.0016 -0.0001;2262.0 33.0 109716 0.0120 0.0321 0.0424 0.0406 -0.0010;7302.0 55.0 109660 0.0000 0.0000 0.0000 0.0000 0.0000,109697.0 20000;109698.0 20000;109635.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109675.0 20000;109716.0 20000;109717.0 20000;109718.0 20000;109719.0 20000;109720.0 20000;109667.0 20000;109660.0 20000,109697 986;109698 1000;109667 986;109699 997;109701 982;109702 1022;109704 1046;109706 1001;109675 1007;109708 1002;109709 1025;109710 980;109635 961;109707 1020;109717 984;109718 997;109719 1038;109720 1009;109716 954;109660 1003
