
New Run at  12/04/2014 18:57:46
, Time,UCBLearnAccesses;UCBClicks;randomLearnAccesses;randomClicks;greedyLearnAccesses;greedyClicks,(varOfClusterUsers Article_Access Clicks ID Theta),(ID;epochArticles),(ID;epochSelectedArticles)
data,1241766300,1131537.0;61962.0;1191183.0;43773.0;1200022.0;65611.0,0.116449558884|0.163980232196|0.178357374423|0.198555085116|0.204772513531 2820.0 53.0 109697 0.0076|0.0178|0.0326|0.0043|0.0125;0.117582503773|0.144936671362|0.179822983074|0.161215067798|0.168948644394 3808.0 133.0 109698 -0.0170|0.0411|0.0044|0.0835|0.0131;0.085512115041|0.124760264692|0.143625652351|0.130974701741|0.13533602083 28640.0 1273.0 109635 0.0298|0.0275|0.0399|0.0605|0.0209;0.0946200849215|0.104812861016|0.138176413552|0.114080620459|0.137090584391 8963.0 572.0 109699 -0.0071|0.0751|0.0230|0.0943|-0.0149;0.10569499148|0.156889236379|0.19369259543|0.204897521322|0.212905821361 4309.0 207.0 109701 0.0203|0.0093|-0.0041|0.0206|0.0070;0.116699198408|0.163582431521|0.198197866711|0.226081966346|0.23545533 1733.0 27.0 109702 0.0098|0.0145|-0.0010|-0.0027|-0.0000;0.105688236133|0.163884818151|0.170200618884|0.155640739553|0.16214591929 10708.0 877.0 109704 -0.0055|0.0120|0.0671|0.0707|0.0163;0.15191880559|0.189599865796|0.193869875679|0.185636550158|0.194367327771 4708.0 142.0 109673 -0.0509|0.0243|0.0572|0.0650|0.0069;0.097738895283|0.159757848108|0.170005914252|0.175259282682|0.178362858792 3740.0 115.0 109706 0.0236|0.0010|0.0443|0.0260|0.0232;0.119352306172|0.186646427161|0.185328129542|0.184647428948|0.193159118407 4964.0 247.0 109675 -0.0236|-0.0017|0.0796|0.0544|0.0059;0.0809095248401|0.126351909842|0.170358545356|0.149572702614|0.162075786363 7073.0 531.0 109708 0.0321|0.0182|-0.0032|0.0800|0.0001;0.116671313456|0.169189763213|0.179583568763|0.185689741628|0.195631412818 1789.0 42.0 109709 0.0046|0.0117|0.0420|0.0225|0.0036;0.112579581067|0.124756095685|0.134831573175|0.148462545523|0.157181785446 2297.0 68.0 109710 0.0037|0.0659|0.0544|0.0139|0.0100;0.106952300543|0.159794468141|0.17948692138|0.16841635944|0.179260663985 1490.0 26.0 109707 0.0065|0.0108|0.0279|0.0602|0.0031;0.116900024767|0.177013349077|0.209216260137|0.228247275183|0.237564635916 2618.0 61.0 109651 0.0079|-0.0012|-0.0013|0.0161|-0.0001;0.122847187063|0.158420772756|0.182062534545|0.171387727194|0.179076459813 867.0 13.0 109716 -0.0013|0.0277|0.0232|0.0319|0.0052;0.122442296558|0.170060411257|0.178168481542|0.166281202317|0.177432728057 6671.0 240.0 109689 -0.0263|0.0112|0.0580|0.0728|0.0025;0.111700568211|0.121491591658|0.143932316539|0.120417315477|0.130732765741 4515.0 160.0 109690 -0.0305|0.0758|0.0356|0.0991|0.0089;0.0997438142714|0.148119616912|0.182470524941|0.167067353956|0.177917632209 6806.0 116.0 109667 0.0173|0.0162|0.0071|0.0594|0.0028;0.127540066936|0.187563923254|0.212280475162|0.228037377367|0.23534702055 6256.0 53.0 109660 -0.0037|-0.0005|0.0119|0.0153|0.0071,109697.0 13242;109635.0 13242;109667.0 13242;109699.0 13242;109701.0 13242;109702.0 13242;109704.0 13242;109673.0 13242;109706.0 13242;109707.0 13242;109708.0 13242;109709.0 13242;109710.0 13242;109651.0 13242;109716.0 13242;109698.0 13242;109689.0 13242;109690.0 13242;109675.0 13242;109660.0 13242,109697 637;109698 681;109635 672;109699 645;109701 681;109702 646;109704 686;109673 651;109706 672;109675 635;109708 676;109709 692;109710 671;109707 646;109651 672;109716 676;109689 665;109690 658;109667 643;109660 637
data,1241766900,1132519.0;61982.0;1192208.0;43794.0;1201003.0;65629.0,0.114382331015|0.160822854389|0.175311573287|0.196374356481|0.201883622121 2876.0 54.0 109697 0.0072|0.0170|0.0322|0.0044|0.0137;0.116630287393|0.144038179966|0.179231415522|0.160629249678|0.16792467032 3837.0 133.0 109698 -0.0174|0.0405|0.0045|0.0833|0.0122;0.0937077238477|0.103807769368|0.137150319356|0.113139724133|0.134981432055 9027.0 574.0 109699 -0.0084|0.0740|0.0225|0.0945|-0.0151;0.104677705701|0.153893607169|0.190943814829|0.202811640507|0.210417711631 4336.0 207.0 109701 0.0198|0.0088|-0.0040|0.0207|0.0065;0.115538884422|0.160922949519|0.195167723582|0.224021108355|0.232888074179 1755.0 27.0 109702 0.0096|0.0138|-0.0010|-0.0026|-0.0000;0.103679067611|0.160763352429|0.166802405433|0.152510462851|0.158765727967 10783.0 878.0 109704 -0.0052|0.0105|0.0639|0.0720|0.0152;0.147365534721|0.182486796583|0.187133011306|0.177385372066|0.186025462664 4795.0 148.0 109673 -0.0596|0.0250|0.0555|0.0834|0.0062;0.0973801521292|0.156174597177|0.166436764262|0.171943091333|0.174869364778 3787.0 115.0 109706 0.0234|0.0005|0.0437|0.0254|0.0220;0.105753565091|0.157659331906|0.174608837105|0.164339903167|0.173665553477 1576.0 29.0 109707 0.0053|0.0104|0.0343|0.0595|0.0059;0.0800016944522|0.12509291953|0.168752013574|0.148609471051|0.160509000329 7128.0 533.0 109708 0.0320|0.0178|0.0039|0.0777|-0.0003;0.115463933576|0.166512077139|0.176928204241|0.183327085627|0.192799432871 1817.0 42.0 109709 0.0045|0.0113|0.0412|0.0223|0.0034;0.110854437692|0.12276654492|0.132905024056|0.147233550463|0.155515132889 2334.0 68.0 109710 0.0029|0.0640|0.0541|0.0144|0.0094;0.115484011752|0.174278293989|0.205780192323|0.225096877008|0.233940228271 2643.0 61.0 109651 0.0076|-0.0012|-0.0012|0.0161|-0.0001;0.0989357364529|0.14601218291|0.180382011221|0.16522533128|0.175547594069 6834.0 116.0 109667 0.0166|0.0153|0.0069|0.0596|0.0026;0.120659491627|0.155661604068|0.179333878578|0.169610138234|0.17698568939 893.0 13.0 109716 -0.0013|0.0265|0.0227|0.0323|0.0049;0.0845482474611|0.122946385998|0.141853464418|0.129318271885|0.133480000918 28709.0 1274.0 109635 0.0318|0.0259|0.0386|0.0586|0.0197;0.122377340785|0.168836272427|0.176942676901|0.165023363729|0.174544738251 6722.0 241.0 109689 -0.0260|0.0107|0.0574|0.0726|0.0054;0.108915350685|0.119368086254|0.142391860276|0.118739937978|0.127502777513 4623.0 163.0 109690 -0.0298|0.0751|0.0361|0.0980|0.0114;0.118891280444|0.183396978485|0.182064373421|0.181239966873|0.189452973222 5003.0 247.0 109675 -0.0231|-0.0019|0.0786|0.0539|0.0050;0.126049380512|0.184576946358|0.209424549316|0.225660383126|0.232620271546 6279.0 53.0 109660 -0.0037|-0.0005|0.0117|0.0153|0.0067,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 1024;109698 1008;109699 1020;109701 982;109702 971;109704 962;109673 979;109706 973;109707 1033;109708 1016;109709 1039;109710 1042;109651 955;109667 1049;109716 1022;109635 1004;109689 946;109690 992;109675 985;109660 998
data,1241767800,1133544.0;62009.0;1193229.0;43820.0;1201988.0;65654.0,0.113593132813|0.158845532001|0.173405163331|0.195091611342|0.200340747314 2901.0 54.0 109697 0.0072|0.0164|0.0319|0.0046|0.0130;0.114954374048|0.142257792654|0.17747589616|0.158903984685|0.165470168495 3896.0 134.0 109698 -0.0184|0.0395|0.0044|0.0834|0.0133;0.0829918657935|0.121200521728|0.140491035607|0.128275749814|0.132079178006 28799.0 1276.0 109635 0.0307|0.0245|0.0384|0.0596|0.0197;0.0930361797172|0.103204832445|0.136557287408|0.112494056538|0.133272869499 9063.0 574.0 109699 -0.0097|0.0734|0.0221|0.0943|-0.0149;0.103383041467|0.152733214515|0.189335022033|0.201729937551|0.20897486181 4359.0 207.0 109701 0.0192|0.0087|-0.0040|0.0208|0.0062;0.11403667996|0.158587550909|0.192946895839|0.221701030893|0.230134122266 1778.0 27.0 109702 0.0094|0.0134|-0.0010|-0.0026|-0.0000;0.102002858334|0.158968726664|0.165019610045|0.150802388012|0.156811158024 10836.0 879.0 109704 -0.0058|0.0099|0.0633|0.0733|0.0143;0.144716957689|0.178074965972|0.182466599784|0.171151559618|0.177937591209 5027.0 162.0 109673 -0.0702|0.0344|0.0555|0.0932|0.0110;0.096621789899|0.155134214975|0.165352179264|0.17114372394|0.17387062459 3826.0 115.0 109706 0.0227|0.0005|0.0434|0.0257|0.0210;0.105194318585|0.156019812671|0.172913880348|0.162661368438|0.171627730419 1602.0 29.0 109707 0.0048|0.0099|0.0338|0.0595|0.0056;0.0795547673721|0.123831051914|0.165167911506|0.145331709288|0.156899516294 7185.0 533.0 109708 0.0310|0.0170|0.0021|0.0772|-0.0005;0.113835149643|0.164175115895|0.174635850021|0.181765783648|0.189927838111 1870.0 43.0 109709 0.0041|0.0109|0.0410|0.0225|0.0061;0.108651325204|0.120331100877|0.130702332709|0.145805492472|0.153733352248 2374.0 68.0 109710 0.0014|0.0625|0.0536|0.0151|0.0089;0.0982663409653|0.144312902551|0.178587091255|0.163763977433|0.173630080914 6859.0 116.0 109667 0.0159|0.0148|0.0068|0.0598|0.0024;0.119645172915|0.154038620228|0.177961232445|0.168677000606|0.175715671609 914.0 13.0 109716 -0.0014|0.0258|0.0227|0.0324|0.0046;0.114108583823|0.172564714659|0.204487317412|0.223917510302|0.232321973096 2662.0 61.0 109651 0.0073|-0.0012|-0.0012|0.0160|-0.0001;0.12200152386|0.156326908614|0.16470271439|0.152622269119|0.161352684072 6804.0 244.0 109689 -0.0294|0.0289|0.0571|0.0722|0.0076;0.108058981622|0.118604811789|0.141824263549|0.118089068599|0.126504401607 4660.0 163.0 109690 -0.0315|0.0749|0.0363|0.0979|0.0105;0.11767770712|0.181609297093|0.180293814363|0.179662625286|0.187647716336 5065.0 252.0 109675 -0.0274|-0.0013|0.0826|0.0519|0.0036;0.124340432185|0.18158997549|0.206608062571|0.223471012733|0.230105037882 6302.0 53.0 109660 -0.0036|-0.0005|0.0116|0.0153|0.0064,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 993;109698 985;109635 1008;109699 1021;109701 960;109702 956;109704 1015;109673 1015;109706 965;109707 999;109708 982;109709 1054;109710 1057;109667 997;109716 991;109651 971;109689 1021;109690 975;109675 977;109660 1058
data,1241768700,1134531.0;62033.0;1194208.0;43838.0;1202989.0;65670.0,0.112755427519|0.15776293285|0.172294071525|0.19409104678|0.199066802858 2929.0 54.0 109697 0.0071|0.0162|0.0315|0.0046|0.0123;0.11472981363|0.14116138641|0.17597712755|0.157534153019|0.163817106347 3924.0 134.0 109698 -0.0182|0.0378|0.0041|0.0836|0.0126;0.0980989423278|0.143346256724|0.177061330227|0.162486236247|0.171891742953 6881.0 116.0 109667 0.0158|0.0144|0.0065|0.0599|0.0023;0.0924662151951|0.102305084572|0.13560138432|0.111608471774|0.131514438071 9109.0 574.0 109699 -0.0102|0.0710|0.0218|0.0940|-0.0145;0.099140141771|0.148341079217|0.185343345438|0.19838846433|0.20537464197 4407.0 208.0 109701 0.0238|0.0080|-0.0049|0.0192|0.0058;0.113598049894|0.157605284996|0.192150257858|0.220628321941|0.228601004216 1797.0 27.0 109702 0.0093|0.0131|-0.0010|-0.0025|-0.0000;0.101093659303|0.15759296505|0.163509513207|0.149301791724|0.154742031192 10919.0 882.0 109704 -0.0082|0.0095|0.0646|0.0742|0.0148;0.143792415391|0.174342647722|0.17857546008|0.166579336714|0.17317027854 5157.0 169.0 109673 -0.0764|0.0248|0.0534|0.0988|0.0105;0.0960581198947|0.153615369171|0.163703921681|0.16982199705|0.172254512224 3890.0 116.0 109706 0.0224|0.0004|0.0427|0.0260|0.0208;0.104849413575|0.154705291443|0.171448078495|0.161255059112|0.169826395819 1627.0 29.0 109707 0.0045|0.0096|0.0333|0.0596|0.0053;0.078382352563|0.122837651898|0.163887150115|0.144141364299|0.153832770339 7296.0 538.0 109708 0.0351|0.0148|0.0011|0.0765|0.0031;0.11327888419|0.162636574609|0.17301212725|0.180590217648|0.188363242339 1893.0 43.0 109709 0.0040|0.0106|0.0405|0.0227|0.0058;0.107792712989|0.119173337973|0.129592152519|0.144926459776|0.152526852922 2404.0 68.0 109710 0.0013|0.0612|0.0531|0.0153|0.0085;0.0821265860777|0.120648820302|0.139776562613|0.127626482063|0.13085739999 28918.0 1279.0 109635 0.0307|0.0243|0.0374|0.0591|0.0205;0.118885004423|0.152708104346|0.176385253677|0.167616050309|0.174338146673 937.0 13.0 109716 -0.0013|0.0251|0.0223|0.0327|0.0044;0.114088052902|0.170675466363|0.202507050755|0.221979814785|0.229954504796 2682.0 61.0 109651 0.0073|-0.0012|-0.0012|0.0159|-0.0000;0.121926211639|0.154858145693|0.163177922189|0.151184068218|0.159571720129 6828.0 244.0 109689 -0.0290|0.0273|0.0565|0.0723|0.0072;0.107512989662|0.117524377091|0.14073303097|0.117073272586|0.125229942792 4713.0 165.0 109690 -0.0344|0.0776|0.0366|0.0973|0.0096;0.117437469256|0.179635258728|0.178327394645|0.177752271309|0.184988840433 5135.0 254.0 109675 -0.0265|-0.0015|0.0807|0.0529|0.0052;0.123905896058|0.180434606862|0.205078813318|0.222203222631|0.228535331226 6323.0 53.0 109660 -0.0036|-0.0005|0.0114|0.0153|0.0060,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 950;109698 1043;109667 931;109699 1006;109701 1049;109702 1016;109704 972;109673 1054;109706 1055;109707 997;109708 995;109709 948;109710 991;109635 996;109716 1010;109651 983;109689 979;109690 1017;109675 1028;109660 980
data,1241769600,1135561.0;62057.0;1195182.0;43860.0;1203944.0;65694.0,0.111473786929|0.156449758098|0.171166557335|0.1931351873|0.197808765972 2963.0 54.0 109697 0.0069|0.0160|0.0313|0.0047|0.0116;0.114374591738|0.140869848339|0.175747535317|0.157370437302|0.163245728183 3959.0 134.0 109698 -0.0180|0.0378|0.0043|0.0827|0.0118;0.0922897549955|0.102139904977|0.135495225785|0.111520225162|0.13001454981 9133.0 574.0 109699 -0.0106|0.0710|0.0219|0.0938|-0.0141;0.0966298138692|0.13470690149|0.174554176499|0.18578454194|0.192650359399 4481.0 213.0 109701 0.0172|0.0555|-0.0040|0.0181|0.0053;0.111730542207|0.156385493884|0.190555853189|0.219722353868|0.227155189848 1824.0 27.0 109702 0.0090|0.0132|-0.0009|-0.0025|-0.0000;0.100464036914|0.156756298078|0.162057246573|0.148198636558|0.153363815809 11018.0 886.0 109704 -0.0085|0.0094|0.0654|0.0739|0.0135;0.143324395027|0.173746479625|0.177922120564|0.166294395966|0.171957974377 5285.0 173.0 109673 -0.0741|0.0261|0.0520|0.0940|0.0116;0.0952125411733|0.152505248909|0.162733934734|0.169035276257|0.171195141517 3961.0 117.0 109706 0.0218|0.0004|0.0428|0.0260|0.0204;0.104706634737|0.154626827653|0.171375042902|0.161165455265|0.169130588982 1654.0 29.0 109707 0.0045|0.0096|0.0334|0.0593|0.0049;0.0764405651513|0.122045475564|0.16294973497|0.143466493585|0.152721784518 7384.0 543.0 109708 0.0402|0.0131|-0.0007|0.0761|0.0021;0.11267169691|0.16165361865|0.171920348621|0.179496655654|0.186769192188 1925.0 43.0 109709 0.0040|0.0105|0.0400|0.0224|0.0053;0.107422444504|0.118680227507|0.129058765056|0.144276977073|0.151404976542 2438.0 68.0 109710 0.0014|0.0607|0.0524|0.0152|0.0079;0.0818922869229|0.120127774407|0.139197476885|0.127076866211|0.1300499888 28983.0 1280.0 109635 0.0298|0.0237|0.0369|0.0613|0.0195;0.111055500065|0.175507251573|0.174775831495|0.1742787206|0.181258194373 5213.0 257.0 109675 -0.0087|-0.0033|0.0784|0.0509|0.0042;0.118367181593|0.152260562139|0.175733634809|0.167113662709|0.173391703101 965.0 13.0 109716 -0.0011|0.0252|0.0222|0.0319|0.0041;0.112809776585|0.169137846845|0.200537783395|0.220501944279|0.227951058462 2709.0 61.0 109651 0.0071|-0.0012|-0.0012|0.0159|-0.0000;0.121731584095|0.154746960983|0.163031622258|0.151045802475|0.158883681613 6856.0 244.0 109689 -0.0289|0.0273|0.0561|0.0724|0.0067;0.107079659745|0.116384846947|0.139339573011|0.115960894719|0.123671053503 4783.0 166.0 109690 -0.0343|0.0758|0.0361|0.0964|0.0086;0.097887195097|0.142801310697|0.176400011633|0.161921286127|0.170631474629 6912.0 116.0 109667 0.0160|0.0143|0.0065|0.0590|0.0021;0.122783947666|0.178840448879|0.203418095038|0.220603845529|0.2265358451 6353.0 53.0 109660 -0.0035|-0.0005|0.0113|0.0151|0.0056,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 986;109698 989;109699 988;109701 998;109702 977;109704 1021;109673 1005;109706 978;109707 961;109708 1015;109709 1038;109710 995;109635 1009;109675 970;109716 927;109651 1016;109689 992;109690 1065;109667 966;109660 1104
data,1241770500,1136557.0;62083.0;1196144.0;43877.0;1204932.0;65724.0,0.11102941053|0.156138640824|0.170641207677|0.192538082451|0.19703761121 2987.0 54.0 109697 0.0070|0.0160|0.0307|0.0048|0.0111;0.113965445757|0.137665671916|0.172551072927|0.154432933698|0.159722852763 4037.0 137.0 109698 -0.0174|0.0459|0.0043|0.0811|0.0126;0.0816639121298|0.119833970229|0.138491151898|0.126448914901|0.128763311327 29160.0 1286.0 109635 0.0306|0.0228|0.0383|0.0598|0.0215;0.0920097067244|0.101943563107|0.130741827823|0.107245619766|0.125292331235 9186.0 578.0 109699 -0.0135|0.0719|0.0326|0.0942|-0.0141;0.0953662332639|0.123203538306|0.165645019835|0.174363073537|0.181279738262 4569.0 215.0 109701 0.0176|0.0442|-0.0047|0.0260|0.0049;0.110675081593|0.155794259674|0.18937551282|0.218335424506|0.225427366895 1845.0 27.0 109702 0.0088|0.0132|-0.0009|-0.0024|-0.0000;0.100374857728|0.156469423575|0.161734525889|0.147802120653|0.152717105096 11067.0 888.0 109704 -0.0087|0.0084|0.0646|0.0769|0.0125;0.107779060671|0.173687371852|0.173029009055|0.1726636467|0.179390214484 5277.0 258.0 109675 -0.0069|-0.0031|0.0776|0.0501|0.0034;0.0950221033158|0.152446149458|0.162567574332|0.168975010167|0.171035183308 3993.0 117.0 109706 0.0219|0.0004|0.0423|0.0262|0.0195;0.104676548476|0.154600982682|0.170918156247|0.160859123394|0.168449910082 1677.0 29.0 109707 0.0047|0.0096|0.0327|0.0591|0.0046;0.07388479283|0.120924254192|0.162080168831|0.142804955687|0.15177394352 7495.0 547.0 109708 0.0401|0.0121|-0.0016|0.0766|0.0015;0.112206164133|0.161376809247|0.171474195629|0.178942560136|0.185905817623 1948.0 43.0 109709 0.0042|0.0105|0.0394|0.0221|0.0051;0.107404438972|0.118670398303|0.128910779836|0.144211575535|0.151012887507 2460.0 68.0 109710 0.0016|0.0607|0.0518|0.0153|0.0075;0.112787834071|0.169108087687|0.200145676141|0.219480001817|0.22657004214 2728.0 61.0 109651 0.0071|-0.0012|-0.0012|0.0155|-0.0000;0.117559021044|0.151600048126|0.174800046259|0.166520694714|0.172535047546 987.0 13.0 109716 -0.0010|0.0252|0.0219|0.0316|0.0039;0.14308286311|0.173400743079|0.177513546146|0.166235426097|0.17116408193 5381.0 177.0 109673 -0.0745|0.0257|0.0521|0.0946|0.0128;0.121703582105|0.154721443766|0.162892264492|0.150961436823|0.15844519084 6879.0 244.0 109689 -0.0286|0.0273|0.0553|0.0723|0.0063;0.107035963168|0.116333411063|0.13917381082|0.115769835943|0.123131633945 4812.0 166.0 109690 -0.0340|0.0753|0.0355|0.0962|0.0079;0.0977446174448|0.142592079486|0.175625410087|0.161435273887|0.169758208361 6933.0 116.0 109667 0.0165|0.0145|0.0065|0.0577|0.0019;0.122138602118|0.178477605406|0.202600348808|0.219653993524|0.225336738627 6374.0 53.0 109660 -0.0035|-0.0005|0.0110|0.0149|0.0053,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 1018;109698 1059;109635 1066;109699 984;109701 965;109702 1032;109704 1024;109675 1027;109706 967;109707 1072;109708 1010;109709 1004;109710 973;109651 977;109716 990;109673 959;109689 929;109690 975;109667 1007;109660 962
